"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"WavesSysSvc","System.ServiceProcess.ServiceController[]","True","True","True","Waves Audio Services","System.ServiceProcess.ServiceController[]",".","WavesSysSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"wbengine","System.ServiceProcess.ServiceController[]","False","False","False","Block Level Backup Engine Service","System.ServiceProcess.ServiceController[]",".","wbengine","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"WbioSrvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Biometric Service","System.ServiceProcess.ServiceController[]",".","WbioSrvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"Wcmsvc","System.ServiceProcess.ServiceController[]","False","True","True","Windows Connection Manager","System.ServiceProcess.ServiceController[]",".","Wcmsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"wcncsvc","System.ServiceProcess.ServiceController[]","False","True","True","Windows Connect Now - Config Registrar","System.ServiceProcess.ServiceController[]",".","wcncsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"WdiServiceHost","System.ServiceProcess.ServiceController[]","False","True","True","Diagnostic Service Host","System.ServiceProcess.ServiceController[]",".","WdiServiceHost","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"WdiSystemHost","System.ServiceProcess.ServiceController[]","False","True","True","Diagnostic System Host","System.ServiceProcess.ServiceController[]",".","WdiSystemHost","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"WdNisSvc","System.ServiceProcess.ServiceController[]","False","False","True","Windows Defender Antivirus Network Inspection Service","System.ServiceProcess.ServiceController[]",".","WdNisSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"WDP","System.ServiceProcess.ServiceController[]","False","True","False","WDP","System.ServiceProcess.ServiceController[]",".","WDP","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"WebClient","System.ServiceProcess.ServiceController[]","False","False","True","WebClient","System.ServiceProcess.ServiceController[]",".","WebClient","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"WebManagement","System.ServiceProcess.ServiceController[]","False","False","False","Web Management","System.ServiceProcess.ServiceController[]",".","WebManagement","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Disabled",,
"Wecsvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Event Collector","System.ServiceProcess.ServiceController[]",".","Wecsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"WEPHOSTSVC","System.ServiceProcess.ServiceController[]","False","False","False","Windows Encryption Provider Host Service","System.ServiceProcess.ServiceController[]",".","WEPHOSTSVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"wercplsupport","System.ServiceProcess.ServiceController[]","False","False","False","Problem Reports and Solutions Control Panel Support","System.ServiceProcess.ServiceController[]",".","wercplsupport","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"WerSvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Error Reporting Service","System.ServiceProcess.ServiceController[]",".","WerSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"WFDSConMgrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Wi-Fi Direct Services Connection Manager Service","System.ServiceProcess.ServiceController[]",".","WFDSConMgrSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"WiaRpc","System.ServiceProcess.ServiceController[]","False","False","False","Still Image Acquisition Events","System.ServiceProcess.ServiceController[]",".","WiaRpc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"WinDefend","System.ServiceProcess.ServiceController[]","False","True","True","Windows Defender Antivirus Service","System.ServiceProcess.ServiceController[]",".","WinDefend","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"WinHttpAutoProxySvc","System.ServiceProcess.ServiceController[]","False","False","True","WinHTTP Web Proxy Auto-Discovery Service","System.ServiceProcess.ServiceController[]",".","WinHttpAutoProxySvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Winmgmt","System.ServiceProcess.ServiceController[]","True","True","True","Windows Management Instrumentation","System.ServiceProcess.ServiceController[]",".","Winmgmt","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"WinRM","System.ServiceProcess.ServiceController[]","False","True","True","Windows Remote Management (WS-Management)","System.ServiceProcess.ServiceController[]",".","WinRM","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"wisvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Insider Service","System.ServiceProcess.ServiceController[]",".","wisvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"WlanSvc","System.ServiceProcess.ServiceController[]","False","True","True","WLAN AutoConfig","System.ServiceProcess.ServiceController[]",".","WlanSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"wlidsvc","System.ServiceProcess.ServiceController[]","False","False","True","Microsoft Account Sign-in Assistant","System.ServiceProcess.ServiceController[]",".","wlidsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"wlpasvc","System.ServiceProcess.ServiceController[]","False","False","False","LPA Service","System.ServiceProcess.ServiceController[]",".","wlpasvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"wmiApSrv","System.ServiceProcess.ServiceController[]","False","False","False","WMI Performance Adapter","System.ServiceProcess.ServiceController[]",".","wmiApSrv","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"WMPNetworkSvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Media Player Network Sharing Service","System.ServiceProcess.ServiceController[]",".","WMPNetworkSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"workfolderssvc","System.ServiceProcess.ServiceController[]","False","False","False","Work Folders","System.ServiceProcess.ServiceController[]",".","workfolderssvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"WPDBusEnum","System.ServiceProcess.ServiceController[]","False","False","False","Portable Device Enumerator Service","System.ServiceProcess.ServiceController[]",".","WPDBusEnum","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"WpnService","System.ServiceProcess.ServiceController[]","False","False","True","Windows Push Notifications System Service","System.ServiceProcess.ServiceController[]",".","WpnService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"WpnUserService_5f866a89","System.ServiceProcess.ServiceController[]","False","False","True","Windows Push Notifications User Service_5f866a89","System.ServiceProcess.ServiceController[]",".","WpnUserService_5f866a89","System.ServiceProcess.ServiceController[]",,"Running","240","Automatic",,
"wscsvc","System.ServiceProcess.ServiceController[]","False","True","True","Security Center","System.ServiceProcess.ServiceController[]",".","wscsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"WSearch","System.ServiceProcess.ServiceController[]","False","True","True","Windows Search","System.ServiceProcess.ServiceController[]",".","WSearch","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"wuauserv","System.ServiceProcess.ServiceController[]","False","True","True","Windows Update","System.ServiceProcess.ServiceController[]",".","wuauserv","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"wudfsvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Driver Foundation - User-mode Driver Framework","System.ServiceProcess.ServiceController[]",".","wudfsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"WwanSvc","System.ServiceProcess.ServiceController[]","False","False","False","WWAN AutoConfig","System.ServiceProcess.ServiceController[]",".","WwanSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"xbgm","System.ServiceProcess.ServiceController[]","False","False","False","Xbox Game Monitoring","System.ServiceProcess.ServiceController[]",".","xbgm","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"XblAuthManager","System.ServiceProcess.ServiceController[]","False","False","False","Xbox Live Auth Manager","System.ServiceProcess.ServiceController[]",".","XblAuthManager","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"XblGameSave","System.ServiceProcess.ServiceController[]","False","False","False","Xbox Live Game Save","System.ServiceProcess.ServiceController[]",".","XblGameSave","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"XboxGipSvc","System.ServiceProcess.ServiceController[]","False","False","False","Xbox Accessory Management Service","System.ServiceProcess.ServiceController[]",".","XboxGipSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"XboxNetApiSvc","System.ServiceProcess.ServiceController[]","False","False","False","Xbox Live Networking Service","System.ServiceProcess.ServiceController[]",".","XboxNetApiSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ZeroConfigService","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) PROSet/Wireless Zero Configuration Service","System.ServiceProcess.ServiceController[]",".","ZeroConfigService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
